NAME,VECTOR,APTITUDE
chb13_55,"[array([19.        ,  7.53541372,  0.87591084]), array([15.        , 21.50565915,  0.80185778]), array([33.        ,  3.63302752,  0.92068805]), array([45.        ,  3.32283282,  0.94573946]), array([15.        ,  2.61876157,  0.92953252]), array([71.        ,  3.67490708,  1.03532167]), array([39.        ,  3.13741458,  1.07198888]), array([13.        , 15.05068807,  0.88809663]), array([17.        , 12.3353131 ,  0.86859595]), array([17.        ,  0.65472437,  0.85743031]), array([27.        ,  2.00011064,  0.82935543]), array([17.        , 13.64959012,  0.97350026]), array([19.        , 18.27242007,  0.84956111]), array([33.        , 10.91454137,  0.89961817]), array([95.        , 76.62326085,  0.92447667]), array([19.        , 14.98973369,  0.92328346]), array([69.        ,  7.92177314,  1.03420237]), array([65.        ,  4.51937911,  1.04771113])]","[12.770828000302046, 10.662227907247182, 8.487746695093257, 8.569380533218139, 10.921508595919086, 7.272488433993435, 5.6667208580974116, 12.236041669826784, 13.373281522376374, 5.945664540101739, 3.624106526856403, 9.03039500410015, 11.762642924034953, 9.336439093116734, 0.0, 10.358975337244258, 6.572926183501558, 5.020280501694887]"
chb20_16,"[array([25.        ,  1.96265019,  0.91377715]), array([83.        , 16.74144618,  0.98372478]), array([25.        , 12.59494346,  0.83134455]), array([37.        ,  3.62696265,  0.93825515]), array([23.        ,  6.20285689,  1.00305986]), array([25.        , 12.0668582 ,  0.91188625]), array([51.        ,  8.08359481,  0.95132057]), array([65.       ,  7.9429344,  0.9786712]), array([17.        ,  3.4969076 ,  0.91459631]), array([17.        ,  9.12837525,  0.86443211]), array([45.        ,  0.4010665 ,  0.92871128]), array([39.        , 23.21802659,  0.91850902]), array([63.        , 10.50143765,  0.90985317]), array([23.        , 11.10361289,  0.94301827]), array([17.        , 10.63073811,  0.87198043]), array([55.        , 10.85244106,  0.94414291]), array([89.        , 14.1532892 ,  0.95072345]), array([19.        , 14.17038565,  0.83844109])]","[5.105059624908329, 12.643917405614536, 6.869030067480591, 17.05455482300429, 8.434390609644648, 18.722591537544343, 10.373144271910174, 13.433103930112612, 7.315836472852244, 14.772701300520287, 6.473986320261061, 11.559069887144313, 4.580748987421505, 12.717966624979791, 8.805300306881158, 13.941029848956585, 13.598015615748093, 8.921117380030115]"
chb12_08,"[array([45.        , 13.73861205,  1.00601119]), array([23.        ,  4.2842721 ,  0.95287255]), array([23.        ,  5.11556255,  0.88664788]), array([37.        ,  9.4520668 ,  0.97010834]), array([17.        , 16.27606213,  0.8705778 ]), array([51.        ,  7.04086466,  0.91870395]), array([41.        ,  6.90817317,  0.91013169]), array([59.        ,  8.95787093,  0.96560217]), array([41.        , 11.44758522,  0.91675235]), array([45.        , 13.55589243,  0.9213122 ]), array([41.        , 11.49395754,  0.90959328]), array([35.        , 21.59465728,  0.90580919]), array([27.        ,  5.47332385,  0.9897472 ]), array([13.        ,  2.47835604,  0.94506631]), array([31.        , 12.38885546,  0.88572254]), array([17.        ,  3.2111777 ,  0.81947457]), array([51.        , 13.26371943,  0.91301163]), array([53.        ,  1.70705866,  0.97321762])]","[10.808897403026803, 12.203192578472915, 6.661957583634932, 13.586320293849855, 12.797388698543688, 11.007197138150335, 15.778915093511106, 12.033952111450548, 10.266894138243929, 13.828164054007544, 12.84443396621013, 13.977976341187686, 11.68749812861218, 8.985688159935213, 8.193352125012215, 13.88644103192368, 13.635609798380132, 13.460217566106145]"
chb15_62,"[array([53.        ,  4.11334604,  0.97592828]), array([27.        ,  9.51764401,  1.09661203]), array([29.        ,  7.57322101,  1.07028458]), array([23.        ,  7.42975257,  0.92560332]), array([85.        , 17.67092861,  0.9503925 ]), array([27.        ,  3.08460113,  0.89425663]), array([33.        , 11.46808597,  1.08442465]), array([29.        ,  3.05242136,  0.86217766]), array([45.        ,  1.34951503,  1.05532922]), array([25.        ,  9.78619944,  1.16236555]), array([37.        ,  5.5385828 ,  1.09780193]), array([35.        ,  2.61650434,  0.99872147]), array([45.        , 14.70314982,  1.05449891]), array([37.        ,  4.04103093,  0.94603205]), array([91.        , 74.38533888,  0.89158445]), array([63.        ,  9.11129503,  1.04113299]), array([77.        , 12.11271774,  1.05369655]), array([79.        , 12.62944   ,  1.02815796])]","[6.543417342562657, 9.878708721961452, 5.7238564349196, 5.933176036011439, 9.174055389278958, 4.467296242658315, 3.5933520109698662, 4.167894032304736, 7.906181988451021, 5.665719321314885, 6.3541200133146445, 8.181109241818255, 7.837579664266359, 3.785354789551758, 0.0, 7.327818615656097, 6.020578705655715, 7.6396739176568556]"
chb15_20,"[array([43.        ,  5.37104014,  0.95207583]), array([21.        ,  2.42676864,  1.02708682]), array([31.        , 16.27191411,  0.89667466]), array([47.        ,  1.14488949,  1.06873468]), array([45.        ,  7.91657658,  0.97387932]), array([37.        , 23.78416485,  0.97056893]), array([ 9.        , 20.43580503,  0.8367534 ]), array([99.        ,  5.61890434,  1.00503613]), array([11.        , 42.67168   ,  1.11572864]), array([43.        ,  3.34810849,  1.04111696]), array([31.        ,  2.44225827,  1.08079167]), array([47.        , 56.13494349,  1.63052744]), array([27.        ,  8.8603799 ,  0.92787488]), array([37.        ,  4.40617681,  0.95649996]), array([59.        ,  1.39004635,  0.9384588 ]), array([41.        ,  6.86208773,  1.04306912]), array([101.   ,  41.4  ,   1.388]), array([93.        ,  4.44851496,  1.02031985])]","[12.618895300891626, 9.804604486735132, 8.63602211909689, 1.8834452770575183, 7.238080427550457, 9.903090577843606, 15.262230047628368, 3.4998726633698416, 0.20365608329513957, 5.035162506477472, 4.074918128635831, 0.0, 14.51146852229484, 7.342388004401746, 11.658134542306096, 2.453164541254472, 0.0, 1.2041593853359265]"
chb01_15,"[array([35.        ,  9.29895074,  0.90421682]), array([45.        ,  6.23824462,  1.01528733]), array([17.        , 11.00747165,  1.01358751]), array([25.        ,  1.37608593,  0.84392569]), array([33.        ,  1.36797541,  0.92852549]), array([83.        , 61.47840768,  1.00955613]), array([27.        ,  4.81411541,  0.91110361]), array([53.        ,  8.48919427,  0.88190577]), array([35.        ,  3.48746832,  0.90281846]), array([37.        ,  6.05874554,  0.82546382]), array([37.        ,  5.62884485,  0.92671089]), array([55.        , 15.93169256,  0.88390678]), array([37.        ,  4.47531043,  0.95974471]), array([41.        ,  1.68778105,  0.96328984]), array([45.        , 44.09913718,  0.90446398]), array([49.        ,  1.89983041,  0.87049185]), array([63.        ,  5.29355314,  0.9423219 ]), array([71.        ,  6.19809168,  0.9422341 ])]","[16.72917948065216, 11.081996051155604, 8.982066165895061, 13.26784590288929, 13.97962579552173, 0.0, 16.089788141163822, 10.812235170889169, 14.504236520026799, 16.341508440439913, 10.976137758769358, 10.670681186461316, 12.488743472285591, 15.17145799557387, 0.0, 13.494262875910433, 13.276205664592526, 13.822482662064866]"
chb12_23,"[array([15.        , 33.93296262,  0.91034209]), array([55.        ,  3.05132087,  0.92278759]), array([17.        , 16.48674778,  0.88898622]), array([25.        ,  1.87709179,  0.83997916]), array([13.        , 26.36508824,  0.80772262]), array([19.        , 13.43057283,  1.00189402]), array([67.        ,  0.75580193,  0.99408949]), array([41.        ,  7.38906804,  1.04789951]), array([41.        , 13.64894068,  0.94719225]), array([21.        , 22.41128025,  0.95655726]), array([23.        , 14.53629856,  0.9678468 ]), array([37.        , 77.316032  ,  0.83453423]), array([43.       , 45.6023838,  0.9577621]), array([19.        , 17.49600708,  0.92281332]), array([19.        ,  6.20521583,  0.90243651]), array([27.        ,  7.44676176,  0.94360798]), array([23.        ,  7.84935494,  1.01322313]), array([15.        ,  3.25372595,  0.95892842])]","[12.604738421760654, 5.783395095143039, 7.621486208998344, 4.31303358168455, 13.615516616962207, 9.476415813110274, 6.1923397703840255, 4.825218317576519, 10.679605059354847, 10.382825268928329, 7.029882872789708, 0.0, 5.892486271507616, 6.802709273749542, 6.660326633255236, 12.268029017602345, 5.758673859587612, 6.643008241629128]"
chb12_42,"[array([69.        ,  6.78330717,  0.99906221]), array([21.        ,  9.97326746,  0.91259801]), array([17.        , 18.20585976,  0.87934409]), array([39.        ,  0.31557003,  0.98765122]), array([45.        ,  0.10164864,  0.9806971 ]), array([67.        ,  0.66566028,  0.96236131]), array([19.        , 14.77177705,  0.8558449 ]), array([33.        , 12.268491  ,  0.99508286]), array([17.        ,  4.20073477,  0.81947617]), array([15.        , 15.60381008,  0.93430745]), array([25.        ,  7.68557591,  0.94050664]), array([93.        ,  5.78897044,  0.96973407]), array([37.        , 10.14215187,  1.05437998]), array([19.        , 18.24613082,  0.95301797]), array([17.        , 12.04232677,  0.91652333]), array([39.        , 34.34731415,  0.92466674]), array([29.        ,  8.76396654,  0.9400525 ]), array([25.        ,  5.37427017,  0.91035809])]","[5.433471344685444, 12.858576996753087, 11.198420322863731, 12.01621389157577, 9.347968832777001, 11.150981992745812, 16.07680754490105, 11.609051017334657, 6.075068153651487, 9.636735593575256, 14.623186568949922, 9.566869594255865, 6.2603048493290245, 13.020488591266961, 9.370922025107113, 10.194253043662654, 12.573683125197011, 14.515512039102436]"
chb13_62,"[array([21.        ,  2.99417107,  0.85157178]), array([87.        , 23.04867255,  0.95594345]), array([71.        ,  4.84305342,  0.95488373]), array([31.        ,  4.22548821,  0.93677119]), array([39.        ,  6.72951707,  0.95820285]), array([89.        , 13.24873589,  0.95768502]), array([15.        ,  5.1229531 ,  0.92940334]), array([17.        , 20.34114144,  0.80767936]), array([19.       ,  1.4791248,  0.8550172]), array([53.        , 18.44295653,  0.91710576]), array([29.        ,  0.35048947,  0.95501332]), array([55.        , 17.43981461,  0.94145501]), array([29.        , 12.27393746,  0.870716  ]), array([25.        ,  8.49924646,  0.96393672]), array([29.        , 20.05331477,  0.86157599]), array([23.        ,  0.44757386,  0.94339949]), array([65.        , 10.51779579,  0.94902841]), array([29.        ,  3.09454361,  0.95797347])]","[8.48228932838764, 9.687114617001354, 11.713819763204942, 12.786254706239916, 11.706981492124397, 10.851445943287947, 11.81870285814889, 14.074330281185794, 14.115731528640687, 12.319617591665402, 13.832164488679641, 10.64437006707293, 14.202333007911271, 13.669270824039597, 11.555185666730024, 12.200825233825643, 9.186206721494656, 14.227446268025759]"
chb22_38,"[array([91.        ,  4.39510653,  0.9561496 ]), array([91.        ,  0.79394589,  0.94045809]), array([29.        ,  0.80196542,  0.86250628]), array([45.        ,  2.49793525,  0.91885796]), array([77.        ,  3.98414666,  0.94545766]), array([33.        ,  8.48225718,  0.92843994]), array([47.        ,  5.68525495,  0.99195727]), array([23.        ,  3.58339807,  0.88681691]), array([61.        ,  2.44493793,  0.92603035]), array([29.        ,  8.12047882,  0.87566049]), array([25.        , 12.69546842,  0.93951478]), array([41.        ,  6.42789184,  0.90610265]), array([35.        ,  2.0050094 ,  0.88896674]), array([51.        , 18.24471681,  0.92812884]), array([41.        , 25.39920042,  0.95069784]), array([57.        ,  4.13438177,  0.93828439]), array([21.        ,  1.09079781,  0.88761627]), array([33.        ,  5.62704286,  0.98589054])]","[11.414926249278334, 11.481053343673711, 14.657246732162974, 15.531649716342073, 9.500227410025099, 15.396564905410177, 12.81939068731597, 15.585629614266905, 11.927821591777523, 15.096991841746926, 15.509213759174587, 15.02552698195694, 7.208365066656935, 9.469721516486574, 9.00197975576005, 11.600388535768653, 13.832794876124355, 14.533644097108937]"
